"";"ID";"Gender";"Age";"Education_lev";"fluidIQ";"Emotional.Stability..N.";"Carefreeness..N1.";"Equanimity..N2.";"Positive.mood..N3.";"Self.consciousness..N4.";"Self.control..N5.";"Emot..robustness..N6.";"Extraversion..E.";"Friendliness..E1.";"Sociableness..E2.";"Assertiveness..E3.";"Dynamism..E4.";"Adventurousness...E5.";"Cheerfulness..E6.";"Openness..O.";"Openn..to.imagin...O1.";"Openn..to.aesth...O2.";"Openn..to.feel...O3.";"Openn..to.actions..O4.";"Openn..to.ideas..O5.";"Openn..to.val..norm...O6.";"Conscientiousness..C.";"Competence..C1.";"Love.of.order..C2.";"Sense.of.duty..C3.";"Ambition..C4.";"Discipline..C5.";"Caution..C6.";"Agreeableness..A.";"Willingness.to.trust..A1.";"Genuineness..A2.";"Helpfulness..A3.";"Obligingness..A4.";"Modesty..A5.";"Good.naturedness..A6.";"freq_calls";"freq_Tools";"freq_Finance";"freq_Games";"freq_Entertainment";"freq_Productivity";"freq_Personalization";"freq_News...Magazines";"freq_Unknown";"freq_Photography";"freq_Shopping";"freq_Communication";"freq_Books...Reference";"freq_Travel...Local";"freq_Music...Audio";"freq_Medical";"freq_Education";"freq_Business";"freq_Lifestyle";"freq_Transportation";"freq_Weather";"freq_Sports";"freq_Browser";"freq_Health...Fitness";"freq_Media...Video";"freq_Social";"freq_Comics";"mydatatest.avg_duration_calls";"dur_Tools";"dur_Finance";"dur_Games";"dur_Entertainment";"dur_Productivity";"dur_Personalization";"dur_News...Magazines";"dur_Unknown";"dur_Photography";"dur_Shopping";"dur_Communication";"dur_Books...Reference";"dur_Travel...Local";"dur_Music...Audio";"dur_Medical";"dur_Education";"dur_Business";"dur_Lifestyle";"dur_Transportation";"dur_Weather";"dur_Sports";"dur_Browser";"dur_Health...Fitness";"dur_Media...Video";"dur_Social";"dur_Comics"
"1";11304;1;23;4;0,7251;-0,9334;-1,23;-0,357;-0,72;-0,335;0,11;-0,688;-1,0278;-1,068;0,247;1,235;-0,359;-1,081;-1,438;-1,0703;0,576;-0,475;-0,517;-0,563;1,29;-1,608;-0,8548;-0,236;1,687;-0,828;0,341;0,02;0,834;-1,4482;-0,032;0,154;-0,764;-1,027;-1,082;-0,788;120;414;0;40;51;553;0;8;31;260;52;1930;3;128;113;0;11;1;7;153;0;184;231;176;1;8;0;80,5083333333333;19,9892340944657;0;474,149741372312;66,142811933548;27,2998067102042;0;63,4829475551376;5,59486564300966;22,3064563117097;62,5418080515106;60,222363394913;102;66,6407796724289;19,2733669729923;0;35,3160759205747;4;60,6666666666667;55,4690272668068;0;124,447371127306;72,5028561014452;125,382996506158;140;0;0
"2";11491;1;21;4;0,9921;1,1622;0,993;2,52;1,323;0,562;1,799;5,526;-1,1607;-1,488;-1,798;2,043;-1,182;0,554;-1,222;0,1221;1,558;-0,475;-5,648;0,917;5,515;1,332;1,0258;4,435;0,905;2,401;4,04;4,552;2,401;-2,1099;-1,156;-0,562;-2,474;-0,404;-1,082;-2,993;98;239;3;0;21;88;0;4;42;113;23;3430;5;19;4;0;0;7;0;34;0;0;187;0;1;211;0;176,214285714286;21,2012359486119;77;0;292,695366429791;29,8236456900874;0;0;2,14906617752123;16,7531465663771;90,8043796172504;42,1974109258036;52;53,7029469167557;0;0;0;24,2857142857143;0;74,5876449114748;0;0;95,8291103807464;0;0;82,5819537340634;0
"3";12552;2;22;5;0,5541;-1,6827;-2,016;-2,303;-2,371;0,562;-1,045;-1,484;-0,2877;0,082;2,391;-2,005;2,375;1,438;-0,309;0,181;1,058;0,288;0,284;2,849;2,513;0,94;-1,1241;-1,872;-0,732;1,782;0,936;-0,227;-1,114;-0,1796;1,875;3,585;0,471;-0,616;2,202;-0,264;226;135;0;347;6;75;0;9;6;40;19;1068;12;20;2;0;69;3;0;47;0;0;101;0;0;277;0;84,9026548672566;27,019118684255;0;178,964202013156;0;32,3128655790665;0;95,7003341134764;5,06264699216205;38,5773615906811;39,3891527673469;25,3616921751968;35,6600604240646;149,456140917324;20;0;239,753780984539;3,66666666666667;0;65,9774540339823;0;0;86,0990517091466;0;0;78,2534317727397;0
"4";13275;2;34;5;0,7387;-0,9873;-0,47;-0,58;-0,19;-0,815;-0,334;-0,43;-0,8691;1,37;-0,749;0,228;-1,182;0,107;-0,309;-0,4643;0,343;-0,018;1,28;1,18;1,003;0,568;-1,4071;-0,651;-0,958;-0,43;-1,159;-0,227;-0,226;-0,8839;0,653;0,615;-0,059;-0,186;0,093;0,389;89;157;0;0;41;75;2;4;3625;102;0;3140;256;108;21;0;0;9;0;3;108;0;263;53;4;118;0;35,314606741573;20,6777230458759;0;0;84,173028012243;31,0695222914638;99;0;3,22702883248218;17,0306550495473;0;41,0594892030881;30,1932845779783;42,8579079188179;15,2534273975307;0;0;11,4057421422229;0;2;28,1805822733926;0;50,1463093189931;37,6000676934134;0;63,630655315567;0
"5";13604;2;23;4;0,9785;0,1927;0,51;0,696;1,079;1,41;0,533;1,02;0,3674;0,85;2,692;1,767;3,312;0,995;0,84;-0,3404;0,815;-0,475;0,001;0,401;2,193;0,94;0,1243;0,722;2,251;2,401;2,539;1,816;1,139;-0,6329;0,194;0,615;0,471;0,041;1,419;0,389;244;140;0;164;20;140;1;0;3284;266;0;2153;14;141;13;0;0;0;0;6;72;0;363;0;10;15;0;98,1639344262295;8,812731665612;0;43,5009112780573;3,62145467770003;14,4098249265464;6;0;2,50226507577142;11,1327981555196;0;26,9685648140698;67,7126884469082;48,2232065847211;2,24500587278336;0;0;0;0;77,3333333333333;3,81267137489482;0;30,3355292959117;0;9;16,4000087402133;0
"6";14154;1;25;5;0,2092;0,5203;0,51;1,311;1,323;1,199;1,575;1,994;-0,1213;0,082;1,018;2,043;0,837;1,215;1,172;-0,3014;-0,748;-0,795;-1,235;2,248;2,854;0,753;0,566;1,889;2,559;2,401;3,586;2,769;1,768;-0,9829;-1,156;0,862;-0,059;-0,616;0,516;0,042;244;44;0;3;4;29;0;4;8;5;0;716;2;23;27;0;0;1;0;0;3;0;166;2;0;2;0;149,479508196721;12,0096845895745;0;563;0;16,8127887689894;0;0;5,07944602096306;87,7952461248235;0;18,3784262647318;0;28,4038397064787;9,30728608234829;0;0;30;0;0;36,0399554515365;0;138,688685030709;157;0;0;0
"7";15693;1;23;5;0,4192;-1,4149;-2,583;-0,58;-2,687;-1,316;0,533;0,071;-0,9906;0,85;-1,261;-0,013;-1,182;-1,882;0,84;-0,5096;1,058;0,444;0,591;-0,563;2,193;-0,186;0,49;-0,236;3,765;3,144;2,221;2,132;3,455;-1,2005;-0,481;-0,562;0,753;-1,027;-1,884;0,785;47;459;0;9;135;447;0;10;33;134;0;1433;24;84;12;0;37;51;0;53;29;0;104;14;28;308;0;684,212765957447;10,1400735393802;0;19,1680383364666;19,1908800322813;14,4095780649531;0;6,39200899964278;3,81880330481411;13,7529789317568;0;21,9413845296121;3,32667374033034;17,3100390433564;3,995560297824;0;20,6250246387828;5,43556538872095;0;20,7697559420831;2;0;33,798317946581;18,4733554765786;20,486991036524;22,6935960401098;0
"8";17399;2;18;4;0,5361;-0,8745;-1,488;-1,274;0,072;1,199;-0,109;-0,951;0,5066;2,472;2,692;1,767;2,375;2,151;0,84;-0,0279;2,381;0,773;4,838;0,401;1,29;0,197;0,7585;2,541;3,765;2,749;3,586;1,816;2,726;-0,8064;-2,413;0,615;0,2;0,277;-1,884;2,861;368;926;0;121;508;202;0;7;34;443;3;6019;12;192;183;45;28;23;1;0;60;0;624;47;27;1344;0;31,7771739130435;16,143544792428;0;183,087772629211;182,977180937872;12,0914826908703;0;8,25;2;23,7571529656389;0;29,5321163640151;10,9900149004687;37,4433604553719;21,0638291362531;2;50,8815852443216;23,9500561232861;0;0;3,66783262497298;0;38,1785204039899;25,6395358270251;43,182416750976;48,548518692846;0
"9";18336;2;20;4;0,2676;-0,3583;-0,47;0,075;0,331;0,988;0,739;-0,43;-0,009;1,11;1,553;1,498;1,777;-0,354;1,172;-0,1844;1,818;0,444;3,368;0,657;1,003;0,384;-0,015;1,285;1,16;2,401;1,255;1,496;1,768;-0,0711;0,886;1,394;1,997;0,277;0,302;2,094;129;493;84;2;94;228;20;24;240;635;1;4575;25;33;27;0;2;39;4;21;13;0;1494;0;39;365;0;0;6,18271775583321;36,319479203579;207;77,8234719714002;18,9057231107786;1,2094734937375;2;3,09165595600188;20,4981831624221;6;33,9561196403494;29,7140285102452;61,9467731610957;8,08762803257072;0;0;46,1177188170591;0;57,8;2;0;59,6718028962428;0;17,5896970275401;65,2070587788967;0
"10";18818;2;21;4;0,259;0,7022;2,261;2,236;2,073;2,072;-1,821;1,255;0,4861;2,472;1,826;0,473;2,375;2,419;2,187;0,0551;0,343;-0,475;1,28;4,237;0,727;1,332;-1,4056;-0,447;-2,214;-0,43;0,63;-0,691;-0,899;0,7732;2,767;2,684;2,343;1,322;1,923;3,611;37;204;0;387;23;269;0;84;19;126;91;2086;17;21;15;75;0;11;7;316;2;0;446;6;14;95;0;241,864864864865;9,99111587506931;0;366,901522057561;18,606738365984;15,4426346082479;0;79,5748096835594;3,50775107499878;24,2610844834142;115,493502085547;37,6031512910379;47,0400499456983;33,5714285714286;71,1818181818182;7,46180913705292;0;20,455052811614;28,9350723912532;50,7616606810347;0;0;53,7227155325518;65,8651553249096;12,0911341441243;34,7651563224408;0
"11";19533;2;24;5;0,346;-0,5761;-1,488;0,285;0,834;0,345;0,739;-1,216;0,7423;3,603;3,018;-0,252;2,375;2,419;2,877;1,138;3,064;3,421;6,041;2,849;1,885;2,314;0,2527;1,285;0,905;1,495;3,206;1,816;3,071;0,8434;-0,032;0,615;3,558;2,859;2,202;4,513;288;87;0;0;23;88;0;70;5;97;22;2292;23;107;43;0;0;0;343;0;63;0;430;99;25;10;0;113,645833333333;23,7113071773655;0;0;54,2307692307692;20,5662756431128;0;33,0704422657208;3,64942230362525;26,3641371266071;131,406948624694;27,5261603954931;22,2200363189877;34,5191150410589;33,2580026059548;0;0;0;53,7199541070872;0;16,2570554203802;0;85,9226798422261;71,893270864234;129,8;24;0
"12";19612;1;20;4;1,1349;1,2184;1,732;1,981;1,568;1,199;3,357;3,695;0,2438;1,11;-0,003;1,767;2,078;3,061;1,85;0,6336;1,558;0,288;0,924;4,237;3,692;0,753;1,2016;1,583;3,765;3,62;4,659;3,485;3,915;0,3805;1,615;1,99;2,343;1,606;1,184;2,094;51;1505;0;100;2;142;0;90;15;52;5;841;2;17;72;0;14;5;0;18;0;23;202;0;0;0;0;17,8235294117647;7,94622141358122;0;92,2190846788309;0;28,3540473161196;0;101,172384721422;5,35429027888988;25,9087084492136;146;94,208915909805;0;82,1262807616942;7,11001408739291;0;108,335198307507;12,9700334113476;0;70,5000054641956;0;75,3421299030563;91,6184945452636;0;0;0;0
"13";20180;2;27;2;0,6785;-0,7997;-1,749;-0,807;-0,72;0,776;2,59;-1,484;-0,0876;1,633;1,283;2,043;1,777;-1,337;0,523;-0,4536;0,815;-1,145;6,041;0,917;0,727;-0,382;0,8736;1,285;4,42;1,22;5,857;2,447;3,071;-0,5062;-1,386;1,683;0,753;-0,822;-0,508;2,861;178;373;0;0;26;68;0;6;30;196;0;2255;19;12;8;0;0;14;122;0;0;0;25;0;143;460;0;459,050561797753;27,9421592546769;0;0;140,423646194972;34,1730387197043;0;0;2,63672074340233;23,2724397629612;0;30,0203827827785;20,6243050843891;32;33;0;0;44,4200828473656;48,8579765283308;0;0;0;98,0583447282813;0;40,1778427416209;107,390911893298;0
"14";20317;2;26;5;0,9162;0,2102;0,51;0,696;1,079;0,776;1,799;0,786;-0,2683;0,85;2,104;0,473;0,523;-0,832;1,172;-0,3509;-0,108;-0,018;1,644;1,18;1,584;0,753;1,2403;1,285;3,288;4,269;4,659;4,552;3,071;-0,0071;0,653;1,121;1,997;1,322;0,093;2,094;332;193;0;9;23;170;0;85;3;11;0;1183;9;14;13;0;0;0;0;25;8;7;38;0;2;85;0;60,2590361445783;9,14549230823741;0;477;73,2307692307692;22,0631690962401;0;26,5739807395868;5,27443512585247;52,0001205590941;0;20,2745930348961;24,25;83,3921796925869;6;0;0;0;0;32,4095470973866;46,6666666666667;38,3333333333333;64,1808165080956;0;0;25,0691793458637;0
"15";20439;2;25;5;0,6056;0,3104;0,51;1,524;2,073;1,41;-0,109;0,313;-0,1673;1,633;1,018;-0,013;0,219;0,332;2,187;-0,0949;1,058;0,773;1,644;1,443;0,216;2,027;-1,0496;0,722;-1,189;0,455;-0,443;-1,132;1,139;-0,1943;1,123;0,615;1,351;1,322;0,956;1,223;154;132;0;0;15;73;0;0;9;58;0;1262;0;20;2;0;7;0;0;0;0;0;71;0;0;10;0;0;35,2908709849005;0;0;76,4600483534691;24,3822143053027;0;0;14,1815499156324;40,8556365883303;0;48,9017588036364;0;106,716715896117;0;0;59,132071853045;0;0;0;0;0;152,161148566622;0;0;43,8801259395904;0
"16";22271;2;19;4;0,9034;-0,2921;-0,721;1,311;-0,19;0,562;1,36;-0,688;-0,4207;1,11;2,104;-0,489;-0,359;-0,121;0,84;0,2752;-0,539;0,134;3,017;2,537;1,885;3,076;-0,2635;0,997;0,413;1,22;1,255;1,816;1,139;-0,358;1,615;1,683;0,2;0,041;0,516;1,67;253;300;0;0;19;55;0;22;14;227;0;2083;13;24;7;0;0;12;0;48;6;0;99;0;13;275;0;0;24,8040303298478;0;0;51,3333512290304;42,2652856305068;0;18,6782383215886;2,79890049757914;26,2256611801482;0;27,1234447844178;74,0712811967002;77,7009514120652;0;0;0;23,8333333333333;0;70,9358618190463;2;0;70,2800867729311;0;36,8571428571429;100,382506212334;0
"17";22718;2;20;4;0,9763;0,4077;0,993;0,492;2,073;2,593;-0,802;1,255;0,7477;2,472;2,104;2,043;2,673;0,995;3,663;1,1;3,064;0,444;0,284;3,637;5,515;1,332;0,2129;2,901;1,963;3,62;1,255;-0,463;2,726;-0,917;-1,623;1,121;-0,305;0,277;-1,884;1,67;134;111;7;0;19;374;0;11;25;93;16;1326;69;73;37;0;0;10;4;56;0;0;311;52;4;736;0;35,865671641791;26,81980462443;49,7467401537115;0;322,704986637384;22,136856384639;0;18,2350173350553;3,56835012006824;10,1200370543397;72,0884186666962;28,5873042146478;34,0477710535499;52,8957106363577;22,3243246976409;0;0;16,6;0;60,0440829159888;0;0;72,8200699968142;58,9900640569064;46,2068076561508;67,8793750885661;0
"18";23429;2;21;3;1,5184;0,0578;0,024;0,9;1,079;-0,815;2,299;1,02;0,1202;2,793;0,247;0,473;1,469;-1,337;3,663;1,4812;3,511;3,421;6,041;2,248;4,313;2,314;1,3913;2,207;3,288;3,62;3,586;5,747;3,915;0,5388;1,366;0,615;2,343;1,606;1,184;5,167;20;122;0;22;1;46;0;0;25;151;0;1249;18;2;56;0;0;39;0;63;1;0;333;3;0;333;0;0;41,9242048669254;0;696,47619047619;18;30,274040327958;0;0;4,47251831647742;21,067405956362;0;36,781262459532;37,8857629863346;151;12,7658110713338;0;0;60,6631197245432;0;61,1424235295637;24;0;73,730653694689;518;0;57,5946122659355;0
"19";23439;1;31;5;-0,2644;-0,1554;0,51;-0,357;0,331;1,41;-0,565;1,255;1,8134;3,159;5,644;3,333;5,94;3,487;2,877;0,7356;2,381;-1,145;3,017;5,419;2,854;0,568;1,0838;1,889;3,288;3,62;4,659;3,936;2,401;0,3358;0,886;1,394;3,112;1,322;0,093;2,861;601;326;146;110;41;1761;13;53;5677;135;39;3827;5;90;223;0;15;95;8;54;12;0;368;0;45;206;0;91,4409317803661;18,0269136165784;64,9454697500168;70,9457629655895;100,852286455967;15,5665172891461;12,486677302637;98,2935097395813;5,51863468104723;18,9596531593405;76,6158238518044;30,714260601042;329,666666666667;39,6623068269221;73,3510652868223;0;171,865468312864;37,6790711281966;149,507268415546;86,5635012734898;18,4728829952354;0;39,6272983213906;0;56,4673125083943;35,3933341712582;0
"20";23497;1;23;4;0,0911;-0,4073;-0,222;0,285;0,331;-1,063;1,15;0,313;-0,6034;0,85;-1,002;0,228;0,523;-0,354;0,84;0,4181;3,511;0,773;1,28;-0,563;3,692;1,774;1,6397;3,785;2,898;5,504;4,659;4,552;3,455;-0,8169;-0,257;0,154;1,047;0,277;0,302;-0,538;416;1428;56;14;307;529;6;50;1052;190;51;2111;32;73;72;0;0;4;59;153;8;0;1103;0;59;142;0;163,144230769231;8,79290599370074;44,7651458543641;0;14,437916692216;3,86338374059046;6,98801378533665;25,463457453756;4,89836713154904;9,82850323526592;37,932658857201;17,6365329218955;17,3978325951573;17,2409440837353;4,89511704772197;0;0;7,8100253359642;43,9159664100888;42,218758758874;17,5;0;35,5666837026103;0;13,7387943383393;24,3914916361507;0
"21";24761;1;18;4;0,9713;0,0399;-0,222;0,696;0,834;0,345;2,299;0,551;-0,6097;-0,401;-1,525;1,767;1,154;-0,354;0,523;-0,4533;0,576;0,606;-0,264;-0,094;1,584;0,94;0,2697;0,997;1,421;2,749;3,586;2,132;1,139;-0,8317;-0,481;0,862;-0,059;0,041;0,302;0,389;129;134;0;153;15;313;0;85;16;32;0;643;4;4;60;0;4;2;2;18;24;0;529;0;4;752;0;39,5271317829457;22,7973897970567;0;146,091422682415;50,0287027817453;46,7667750593083;0;108,504072710171;3,2715269172428;21,5092012649923;0;27,3794054856167;0;0;11,6528257827145;0;0;0;0;42,1601548142959;10,2340194580297;0;121,422158228206;0;0;81,6953854293745;0
"22";25282;2;28;4;-0,3466;0,1202;0,752;0,9;0,331;1,623;-0,109;1,02;0,5965;2,793;2,391;1,498;2,982;0,554;2,187;-0,1725;0,815;0,949;2,345;1,707;1,003;0,384;-0,19;0,722;0,656;2,749;1,255;0,862;1,452;-0,0414;-1,156;2,321;1,997;1,046;0,516;1,223;124;112;0;2;101;160;2;25;16;379;19;1913;4;67;393;0;4;2;271;42;83;0;274;19;4;1041;0;42,6693548387097;15,0524012665117;0;95;123,014899167709;65,2388202280169;0;78,1768494760492;4,93931621574526;76,4720709955386;335,316354422885;76,0576506262268;0;61,4243799205334;43,1596699455372;0;0;43;207,973433741572;52,8162900567241;47,1336492232385;0;93,9412376662835;58,6666666666667;0;112,191333718386;0
"23";25495;2;20;4;0,082;0,7339;1,732;0,492;1,079;2,318;1,15;2,874;0,6199;3,159;3,387;1,235;0,219;0,995;4,158;-0,5025;-0,748;1,554;-0,264;1,974;0,464;0,384;-0,295;-0,016;-0,055;2,749;0,63;2,447;0,544;-1,0705;-2,726;0,615;1,047;-1,645;1,184;-0,538;209;245;0;243;35;119;0;0;25;194;23;1769;13;48;40;0;0;23;0;134;44;0;411;0;61;303;0;55,6937799043062;11,2936723857655;0;74,1753769890723;167,976637846737;24,5469976348586;0;0;3,22473797480406;19,053120188682;34,6430666213778;31,9663937035042;35,2918320332353;51,1685014515066;43,1217627928742;0;0;41,5478503876414;0;50,81745254593;8,34200831639667;0;83,0972599458475;0;47,5695108759408;50,7905118510797;0
"24";25835;2;50;2;-0,9661;-0,8701;-1,749;-0,58;-0,986;0,123;0,11;0,551;-0,3042;0,334;1,553;1,767;0,837;-1,337;0,84;-0,9145;-1,81;-0,169;1,28;1,18;-0,018;0,384;0,4088;0,462;2,559;4,269;1,902;2,769;1,452;0,1372;1,875;1,99;2,343;0,779;0,734;1,223;98;56;0;0;12;103;0;12;4;144;0;1882;4;8;6;0;0;2;0;4;0;0;72;0;75;9;0;0;26,666761668402;0;0;0;21,3920463683645;0;0;10,7444916445586;32,6263980045804;0;60,7448978355895;0;0;0;0;0;35;0;56;0;0;51,5432580879912;0;31,9746320984938;4;0
"25";25870;2;20;4;0,4028;-0,1372;0,024;0,075;0,834;0,988;0,944;0,071;0,0607;1,37;1,553;1,235;1,154;0,995;1,511;-0,2304;1,058;0,444;3,368;0,657;1,003;0,753;-0,4334;0,722;0,905;0,954;1,255;0,563;1,139;-0,3474;0,422;0,615;1,351;0,277;0,093;2,094;202;147;0;161;11;61;0;4;19;51;0;1609;4;161;8;0;0;0;0;0;0;0;128;0;4;375;0;44,4306930693069;18,825831646753;0;350,939619241781;41,3333333333333;51,4701276842043;0;151;5,55182975049003;38,4780520934647;0;30,6377046978931;0;41,7177658301012;0;0;0;0;0;0;0;0;69,7415665873581;0;0;26,8261133716588;0
"26";26192;2;24;4;-0,2345;0,0026;0,024;0,9;0,331;0,345;0,739;1,494;-0,6576;0,082;1,018;-1,215;0,523;-0,121;0,225;-0,3749;0,815;-0,321;0,284;0,917;1,29;0,94;-0,2538;-0,236;0,176;1,782;2,539;1,496;1,139;-0,3414;-0,032;1,394;0,471;1,898;1,664;-0,264;89;112;0;1;31;67;0;51;21;69;1;1693;4;129;4;0;0;24;70;25;0;0;480;0;24;479;0;53,4606741573034;4,87446038616496;0;18;149,817836582384;27,2835265149452;0;111,372088729009;3,01931900379737;30,6061827057321;0;46,0084452351595;0;57,1972072152606;0;0;0;45,9067761687303;53,6713226514605;57,3436647090312;0;0;92,5241448862509;0;18,240008766228;106,999438394955;0
"27";26690;2;27;5;0,0514;0,229;0,51;0,492;2,073;2,072;0,533;-0,177;0,3846;2,472;2,692;-1,73;1,469;0,995;4,158;0,3888;2,699;-0,018;2,68;1,707;2,513;1,332;-1,0519;-1,658;-1,189;1,22;0,63;0,862;-0,681;0,3893;1,366;0,862;1,997;1,322;3,304;2,861;229;238;0;0;3;82;0;0;1;37;0;1251;0;12;62;0;0;0;0;43;0;0;19;0;0;4;0;146,825327510917;42,7007114604825;0;0;30;28,4700255264051;0;0;7,63386181956921;21,1629173614573;0;34,8582018263629;0;57,9882261791048;9,23929735877985;0;0;0;0;59,5089675660801;0;0;31,2577787794753;0;0;0;0
"28";27993;1;25;4;0,3633;-0,0768;-0,47;0,285;0,834;0,988;0,739;1,02;0,0733;1,37;1,826;1,498;1,469;0,995;0,84;-0,1128;1,305;-1,338;0,924;2,248;1,885;0,753;0,02;0,722;1,421;2,749;1,902;1,496;1,452;-0,8045;-0,929;1,121;0,753;-0,186;0,516;-0,538;312;155;0;0;0;47;0;0;2401;245;0;2923;17;0;72;0;0;2;0;0;0;0;145;7;0;509;0;117,211538461538;17,4933570189124;0;0;0;17,8554012929188;0;0;2;13,7961259593976;0;25,7261848808063;33,4885963877136;0;10,1654688922652;0;0;11,5;0;0;0;0;43,7702030157991;2;0;48,0623898751171;0
"29";28017;2;25;5;0,1229;-0,1301;-0,222;0,492;0,331;0,123;1,575;0,786;-0,7105;1,37;0,247;-0,013;-0,909;-1,882;1,172;-0,5368;0,576;-0,169;0,591;0,401;1,885;-0,186;1,0344;0,997;2,559;5,504;2,864;2,769;4,54;-0,0816;0,194;0,379;1,667;0,779;1,664;2,487;17;159;0;94;19;45;0;12;137;40;0;356;8;14;2;0;2;22;0;47;53;0;127;0;5;10;0;0;5,71472946384466;0;481,547167639118;83,0286866590387;17,8417066628412;0;0;2,96472736408108;21,8728895649119;0;43,3451655286203;16,3266740871658;56,6666666666667;0;0;582;72,3590736971088;0;40,264309141228;12,2702442611092;0;70,7231159273166;0;28;0;0
"30";28756;2;23;4;-0,0782;-0,2914;-0,47;-0,139;0,585;0,776;1,36;-0,177;-0,1242;2,793;1,283;0,228;-0,074;1,215;0,84;-0,2847;1,305;0,606;6,041;0,657;0,216;0,008;0,485;1,285;2,559;3,62;1,902;1,496;3,455;0,2737;-0,257;0,154;3,112;1,322;1,184;3,611;238;237;0;163;21;40;0;16;113;90;7;2364;7;6;359;0;0;0;0;39;110;0;67;0;2;72;0;255,27731092437;16,9922426085128;0;254,498950737021;231,2;27,285234003755;0;0;2,94206313303822;22,8119634620724;57,4;37,3813100543459;41,9400668226953;51,3400660684228;10,6552439888099;0;0;0;0;55,9811303410113;34,91575999872;0;66,0259738155468;0;0;98,1962237539493;0
"31";28923;2;22;4;0,2014;0,5131;0,993;1,311;2,073;0,988;0,944;1,255;-0,0139;1,11;1,283;1,235;1,469;1,215;0,84;-0,2079;1,058;0,773;1,28;0,917;1,003;1,132;-0,3121;1,285;1,16;0,954;1,255;1,175;0,834;-0,4345;1,366;0,379;1,047;0,779;0,516;0,785;114;450;0;170;111;176;0;72;43;186;2;6947;14;49;110;0;0;21;1;210;47;0;1080;11;26;12;0;0;6,28465405295655;0;43,6158731362278;51,8396310157765;18,453739845524;0;46,3682763262523;2,69230215087237;14,0133627808087;0;22,1174065912302;20,9733651643753;46,1323583822852;11,9020927191147;0;0;22,4087703954334;0;34,0451544071227;4,2207796817289;0;87,8959056887383;42,1076733862402;152,020827646817;0;0
"32";30645;2;21;4;0,498;1,2249;2,261;1,311;2,949;3,896;-0,109;2,553;0,5896;0,85;3,018;1,498;2,375;1,666;3,249;0,1422;2,09;-0,475;-0,76;2,248;2,513;1,132;-0,2515;2,207;0,656;0,954;1,255;1,496;0,544;-0,8064;0,422;0,615;0,471;-0,404;-1,082;1,223;121;362;3;448;275;40;0;40;62;42;1;2110;4;11;34;0;5;23;0;63;1;27;162;0;23;548;0;0;17,4179108435029;49;66,3592828549318;52,7459821989732;14,0800118554759;0;27,7575648890746;3,37599148135263;37,2283105700071;0;31,0166009201646;0;44;6,97431387394001;0;113,25;46,3943261465683;0;57,440719122883;32;32,9753027287932;67,3698573916001;0;55,1485427329843;112,680458114121;0
