index,instance,trait,trait_predicted,low_prob,high_prob,most_contribute_1,most_contribute_2,most_contribute_3,most_contribute_4,most_contribute_5,most_contribute_to_low,most_contribute_to_high,,accuracy
0,26,,,,,,,,,,,,,
1,8,,,,,,,,,,,,,
2,86,,,,,,,,,,,,,
3,78,,,,,,,,,,,,,
4,43,,,,,,,,,,,,,
5,85,,,,,,,,,,,,,
6,22,,,,,,,,,,,,,
7,50,,,,,,,,,,,,,
8,45,,,,,,,,,,,,,
9,24,,,,,,,,,,,,,
10,59,,,,,,,,,,,,,
11,113,,,,,,,,,,,,,
12,54,,,,,,,,,,,,,
13,27,,,,,,,,,,,,,
14,62,,,,,,,,,,,,,
15,115,,,,,,,,,,,,,
16,114,,,,,,,,,,,,,
17,122,,,,,,,,,,,,,
18,104,,,,,,,,,,,,,
19,84,,,,,,,,,,,,,
20,60,,,,,,,,,,,,,
21,18,,,,,,,,,,,,,
22,92,,,,,,,,,,,,,
23,33,,,,,,,,,,,,,
24,94,,,,,,,,,,,,,
25,48,,,,,,,,,,,,,
26,7,,,,,,,,,,,,,
27,16,,,,,,,,,,,,,
28,128,,,,,,,,,,,,,
29,10,,,,,,,,,,,,,
30,2,,,,,,,,,,,,,
31,51,,,,,,,,,,,,,
32,101,,,,,,,,,,,,,
33,116,,,,,,,,,,,,,
34,30,,,,,,,,,,,,,